species,iteration,maxfish,minrec,asympLen,growthCoef,lenWtPower,lenWtCoef,maxage,minsize,bgResource
Trachurus_japonicus,4,0.0,0.0006230962911598996,[43.5        13.12503968],[0.363      0.16862977],2.9746137526951797,0.01229147555291975,12,0.1838682297338032,723.0
Trachurus_japonicus,10,0.01,0.0006230962911598996,[43.5        13.12503968],[0.363      0.16862977],2.98943528612749,0.01189160657743396,12,0.18811703668158752,743.0
Thunnus_maccoyii,1,0.0,5.447494143765027e-06,[228.6         24.16195356],[0.1444     0.02791595],3.0311063410623946,0.018743148502205778,20,53.0253385023863,647491.0
Trachurus_japonicus,9,0.0,0.0007767832408586793,[43.5        13.12503968],[0.363      0.16862977],2.965304537973325,0.012549474623064568,12,0.1812488123210379,710.0
Trachurus_murphyi,6,0.0,0.0002833493224632674,[84.46       21.32844736],[0.1136     0.03650936],2.9131788198346005,0.013067377887097945,16,1.0712665811193312,5994.0
Trachurus_trachurus,5,0.0,0.0011426336347297634,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.9751517391380284,0.00907661571847453,15,0.11123501785649424,395.0
Trachurus_trachurus,6,0.01,0.0011426336347297634,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.9741595937567418,0.009104217384200117,15,0.11116389299612757,395.0
Trachurus_trachurus,9,0.03,0.0011426336347297634,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.980869194452128,0.008919177838994936,15,0.11164577810498653,397.0
Trachurus_murphyi,5,0.02,0.0002833493224632674,[84.46       21.32844736],[0.1136     0.03650936],2.9137528114796742,0.013043934250553408,16,1.0720711011832451,5999.0
Thunnus_maccoyii,4,0.0,5.447494143765027e-06,[228.6         24.16195356],[0.1444     0.02791595],3.033727999567088,0.01856015015406594,20,53.26072589374968,650942.0
Trachurus_murphyi,1,0.0,0.0002833493224632674,[84.46       21.32844736],[0.1136     0.03650936],2.920524105336487,0.012770527442851303,16,1.0816076332249855,6063.0
Trachurus_trachurus,3,0.02,0.0011426336347297634,[40.65277778  8.6389975 ],[0.22166667 0.10277159],2.979581639562383,0.008954392461241616,15,0.11155314391870558,397.0
Trachurus_japonicus,8,0.03,0.0007767832408586793,[43.5        13.12503968],[0.363      0.16862977],2.980434600277869,0.012132856510591306,12,0.1855252949527687,731.0
Thunnus_maccoyii,9,0.02,5.447494143765027e-06,[228.6         24.16195356],[0.1444     0.02791595],3.031251893351536,0.018732941443844298,20,53.03837969608317,647682.0
Thunnus_maccoyii,10,0.01,5.447494143765027e-06,[228.6         24.16195356],[0.1444     0.02791595],3.036390928034518,0.018376100076131264,20,53.500888484478075,654466.0
Brevoortia_tyrannus,3,0.0,0.0010908108919872879,[35.5744186   6.40621324],[0.4247907  0.18115904],3.109721736353664,0.012595477467633589,10,0.16782304560011943,648.0
Trachurus_japonicus,2,0.05,0.0007767832408586793,[43.5        13.12503968],[0.363      0.16862977],2.9858273594359006,0.011987730199063818,12,0.1870738168432748,738.0
Trachurus_murphyi,7,0.02,0.0002833493224632674,[84.46       21.32844736],[0.1136     0.03650936],2.9317750520179215,0.01232885720263052,16,1.09764114930446,6171.0
Thunnus_maccoyii,7,0.01,5.447494143765027e-06,[228.6         24.16195356],[0.1444     0.02791595],3.039185507991015,0.018184913189683318,20,53.75408903694858,658184.0
Trachurus_japonicus,5,0.04,0.0007767832408586793,[43.5        13.12503968],[0.363      0.16862977],2.9715750100921476,0.012375103933416997,12,0.1830090560734292,719.0
Trachurus_murphyi,8,0.01,0.0002833493224632674,[84.46       21.32844736],[0.1136     0.03650936],2.918765554838266,0.0128409772277816,16,1.079122807284011,6046.0
Brevoortia_tyrannus,4,0.0,0.0010908108919872879,[35.5744186   6.40621324],[0.4247907  0.18115904],3.1064017371571864,0.012689383300141145,10,0.16708124498537383,644.0
Trachurus_japonicus,7,0.05,0.0007767832408586793,[43.5        13.12503968],[0.363      0.16862977],2.991431583774367,0.011838752148374208,12,0.1886967573096192,746.0
Brevoortia_tyrannus,5,0.01,0.0010908108919872879,[35.5744186   6.40621324],[0.4247907  0.18115904],3.1043921325786514,0.012746564573863334,10,0.16663382499985102,642.0
Trachurus_japonicus,3,0.04,0.0007767832408586793,[43.5        13.12503968],[0.363      0.16862977],2.9854753225709714,0.01199715079108358,12,0.18697233687177486,737.0
Brevoortia_tyrannus,2,0.01,0.0010908108919872879,[35.5744186   6.40621324],[0.4247907  0.18115904],3.112242453503394,0.012524643639596891,10,0.1683884582034675,650.0
Trachurus_japonicus,1,0.05,0.0007767832408586793,[43.5        13.12503968],[0.363      0.16862977],2.9754727051441616,0.012267939181537832,12,0.18411182023112516,724.0
Sardinops_sagax,7,0.0,0.0014859302730152722,[26.5638961   5.57996419],[0.48044156 0.21071473],3.0960431534357284,0.009368604095331261,25,0.04812532489854413,144.0
Sardinops_sagax,3,0.01,0.0014859302730152722,[26.5638961   5.57996419],[0.48044156 0.21071473],3.1140948357365796,0.009092288707863652,25,0.04955447368565424,149.0
